kanji,kana,meaningZh,exampleJa,exampleZh
お握り,おにぎり ②,饭团,お昼におにぎりを三個食べました。,中午吃了三个饭团。
お願い,おねがい ⓪,请求、托付,先生に推薦状をお願いしました。,请求老师写推荐信。
帯,おび ①,带、和服带,彼女は和服を着て、綺麗な帯を締めた。,她穿上和服，系上了漂亮的带子。
お弁当,おべんとう ⓪,便当,毎日自分で作ったお弁当を持参します。,每天带自己做的便当。
思い切り,おもいきり ⓪,痛快地、尽情地,休み時間は思い切り遊びましょう。,休息时间尽情玩耍吧。
思い込む,おもいこむ ④,深信、固执地认为,彼は自分が正しいと思い込んでいます。,他固执地认为自己是对的。
思わず,おもわず ②,禁不住、不由得,美しい景色に、思わず声が出ました。,看到美丽的景色，不禁发出了声音。
主,おも ①,主要的,この町は、主に観光業で成り立っています。,这个城镇主要靠旅游业支撑。
親,おや ②,父母,親に感謝の気持ちを伝えることが大切。,向父母传达感激之情很重要。
泳ぐ,およぐ ②,游泳,夏休みは、海へ泳ぎに行きたいです。,暑假想去海里游泳。
下りる,おりる ②,下来、降下,電車から下りるとき、忘れ物に注意。,从电车下来时，注意不要忘带东西。
折る,おる ①,折、弄断,風で傘の骨を折ってしまいました。,伞骨被风吹断了。
俺,おれ ⓪,我（男性常用自称）,俺の言ったことを忘れないでくれ。,别忘了我说的话。
音楽家,おんがくか ③,音乐家,彼は世界的に有名な音楽家です。,他是一位世界闻名的音乐家。
温室,おんしつ ⓪,温室,温室で、珍しい熱帯の植物を育てている。,在温室里培育着稀有的热带植物。
温泉,おんせん ⓪,温泉,冬に温泉に入ると、体が温まります。,冬天泡温泉能让身体变暖。
温度,おんど ①,温度,水の温度を測ってから、お茶を入れます。,测量水的温度后再泡茶。
課,か ①,课、科,来週のテストは、第三課から出ます。,下周的考试考第三课。
会,かい ①,会、聚会,週末にクラスの会が開かれました。,周末举行了班级聚会。
回,かい ①,次、回,日本へ行くのは、これが三回目です。,这是第三次去日本。
会員,かいいん ⓪,会员,この図書館の会員になれば、本を借りられる。,成为这家图书馆的会员就能借书。
海岸,かいがん ⓪,海岸,海岸沿いをドライブするのは最高です。,沿着海岸开车是最棒的。
解決,かいけつ ⓪,解决,この問題は、話し合いで解決しましょう。,这个问题通过讨论来解决吧。
会合,かいごう ⓪,聚会、集会,地域のリーダーたちが会合を開きました。,地区的领导人们举行了集会。
改正,かいせい ⓪,改正、修正,法律が改正され、手続きが簡単になった。,法律修改了，手续变得简单了。
解説,かいせつ ⓪,解说、说明,専門家がニュースの内容を解説しました。,专家解说了新闻内容。
改札,かいさつ ⓪,检票,改札を通るときは、切符を準備して。,过检票口时，请准备好车票。
快適,かいてき ⓪,舒适、舒服,このホテルは、部屋が広くて快適だ。,这家酒店房间宽敞，很舒服。
解答,かいとう ⓪,解答、回答,正しい解答を、黒板に書いてください。,请把正确答案写在黑板上。
外部,がいぶ ①,外部、外界,この情報は、外部に漏らさないで。,不要把这个信息泄露到外界。
解放,かいほう ⓪,解放,長い苦しみから、ようやく解放された。,终于从长久的痛苦中解放出来了。
開放,かいほう ⓪,开放,日曜日は、学校の校庭が開放されます。,周日学校操场对外开放。
下位,かい ①,低位、下位,彼の成績は、クラスで下位の方だった。,他的成绩在班里属于下游。
介抱,かいほう ①,护理、照顾,酔い潰れた友達を、一生懸命介抱した。,拼命照顾喝醉的朋友。
買い物,かいもの ⓪,购物、买东西,週末は、スーパーへ買い物に行きます。,周末去超市买东西。
会話,かいわ ⓪,会话,日本人の友達と会話をするのが楽しみ。,期待和日本朋友进行会话。
返す,かえす ①,归还,借りたお金は、期日までに返します。,借的钱会在期限前归还。
帰り,かえり ③,回来、回家,仕事の帰りに、買い物に寄りました。,下班回家的路上顺便买了东西。
変える,かえる ⓪,改变、更换,自分の考えを、簡単には変えられない。,自己的想法无法轻易改变。
顔,かお ⓪,脸,彼女は、お母さんに顔がよく似ている。,她的长相和妈妈很像。
香り,かおり ⓪,香味、气味,部屋の中に、花のいい香りが漂っている。,房间里飘着花香。
画家,がか ①,画家,彼は、将来有名な画家になりたいそうだ。,听说他将来想当有名的画家。
価格,かかく ⓪,价格,野菜の価格が、最近上がっています。,蔬菜的价格最近正在上涨。
科学,かがく ①,科学,科学の進歩は、私たちの生活を変えた。,科学的进步改变了我们的生活。
化学,かがく ①,化学,彼は、大学で化学を研究しています。,他在大学研究化学。
鏡,かがみ ③,镜子,鏡を見て、ネクタイを整えました。,照着镜子整理了领带。
輝く,かがやく ③,闪亮、辉煌,夜空に、たくさんの星が輝いている。,夜空中闪烁着许多星星。
限る,かぎる ②,限于、最好,夏は、やっぱりビールに限るね。,夏天果然还是啤酒最棒。
描く,かく ①,画、描写,彼女は、美しい風景をキャンバスに描いた。,她在画布上描绘了美丽的风景。
各,かく ①,各、各个,各自、自分の荷物を持ってください。,请各自拿好自己的行李。
覚悟,かくご ①,觉悟、心理准备,失敗する覚悟は、もうできています。,失败的心理准备已经做好了。
確信,かくしん ⓪,确信、把握,私は、プロジェクトの成功を確信している。,我确信项目会成功。
確認,かくにん ⓪,确认,提出する前に、もう一度名前を確認して。,提交之前请再次确认名字。
学者,がくしゃ ⓪,学者,彼は、高名な物理学者として知られる。,他作为著名的物理学者而闻名。
学習,がくしゅう ⓪,学习,外国語の学習には、継続が不可欠だ。,学习外语，持续是不可或缺的。
隠す,かくす ②,隐藏,彼は、自分の失敗をみんなに隠した。,他向大家隐瞒了自己的失败。
拡大,かくだい ⓪,扩大,支店の網を、全国に拡大する予定です。,计划把分店网扩大到全国。
格別,かくべつ ⓪,特别、格外,今日のビールは、格別に美味しい。,今天的啤酒格外好喝。
確率,かくりつ ⓪,概率,明日雨が降る確率は、非常に高い。,明天下雨的概率非常高。
学力,がくりょく ①,学习能力、学力,毎日の復習が、学力の向上につながる。,每天的复习有助于提高学力。
学割,がくわり ⓪,学生折扣,学生証を見せれば、学割が使えます。,出示学生证就能使用学生优惠。
欠ける,かける ②,缺少、缺损,この茶碗は、端が少し欠けている。,这个碗的边缘缺了一点。
籠,かご ⓪,篮子、筐,籠の中に、たくさんのリンゴを入れた。,往篮子里放了很多苹果。
重ねる,かさねる ⓪,重叠、反复,努力を重ねて、ついに優勝を勝ち取った。,经过反复努力，终于赢得了冠军。
飾り,かざり ⓪,装饰、点缀,クリスマスの飾りを、部屋に並べた。,在房间里摆上了圣诞装饰。
火山,かざん ①,火山,日本には、たくさんの活火山があります。,日本有很多活火山。
賢い,かしこい ③,聪明、贤明,彼は賢いので、すぐに理解してくれた。,他很聪明，马上就理解了。
貸し,かし ⓪,借出、债,彼には、まだ五千円の貸しがあります。,他还欠我五千日元。
霞む,かすむ ⓪,模糊、看不清,遠くの山が、霧で霞んで見えます。,远处的山因雾气而显得模糊。
擦る,こする ②,擦、揉,目をこすりすぎて、赤くなってしまった。,揉眼揉得太厉害，变红了。
稼ぐ,かせぐ ②,赚钱、挣钱,留学費用を貯めるために、バイトで稼ぐ。,为了攒留学费用，打工赚钱。
数,かず ①,数量,参加者の数を、もう一度数えてください。,请再数一下参加人数。
態々,わざわざ ①,特意、好不容易,態々遠くから来てくれて、ありがとう。,谢谢你特意从远方赶来。
刀,かたな ③,刀、剑,博物館で、古い時代の刀を見ました。,在博物馆看了古代的刀。
塊,かたまり ⓪,块、堆,雪の塊を投げて、雪合戦をしました。,扔雪块玩了打雪仗。
片道,かたみち ⓪,单程,片道の切符を、二枚買いました。,买了二张单程票。
語る,かたる ⓪,讲述、说,祖父は、戦時中の体験を語ってくれた。,祖父为我讲述了战争期间的经历。
価値,かち ①,价值,この絵には、非常に高い価値があります。,这幅画具有非常高的价值。
活気,かっき ⓪,活力、生机,市場は、朝から活気にあふれています。,市场从早起就充满了活力。
学期,がっき ⓪,学期,今学期の授業は、これで全て終了です。,这学期的课程到此全部结束。
楽器,がっき ⓪,乐器,何か楽器が弾けるようになりたい。,想变得会弹奏某种乐器。
活字,かつじ ⓪,活字、印刷文字,私は、デジタルの本より活字が好きだ。,比起电子书我更喜欢印刷文字。
活动,かつどう ⓪,活动,週末は、ボランティア活動に参加します。,周末参加志愿者活动。
活躍,かつやく ⓪,活跃、表现出色,彼は、昨日の試合で大活躍しました。,他在昨天的比赛中表现非常出色。
活用,かつよう ⓪,活用、利用,知識を実生活に活用することが大切だ。,将知识应用到实际生活中很重要。
活力,かつりょく ①,活力,スポーツをすると、体から活力が湧く。,运动会让身体产生活力。
仮定,かてい ⓪,假定、假设,もし宝くじが当たったと仮定したら……,假设中了彩票的话……
家庭,かてい ⓪,家庭,幸せな家庭を築きたいと考えている。,考虑想要建立一个幸福的家庭。
課程,かてい ⓪,课程,博士課程を修了するために、論文を書く。,为了完成博士课程而写论文。
過程,かてい ⓪,过程,結果も大切だが、過程も重要ですよ。,结果固然重要，过程也很关键哦。
角,かど ①,角、拐角,交差点の角に、交番があります。,十字路口的拐角处有派出所。
奏でる,かなでる ③,奏响、弹奏,彼女は、美しいメロディーを奏でた。,她奏响了优美的旋律。
悲しい,かなしい ③,悲伤、难过,友達と別れるのは、とても悲しい。,和朋友分别非常难过。
悲しむ,かなしむ ③,悲伤、哀悼,彼は、ペットの死を深く悲しんでいます。,他对宠物的死感到深切悲痛。
金,かね ⓪,金、钱,金を貯めるのは、簡単なことではない。,攒钱不是件容易的事。
可能,かのう ⓪,可能,努力すれば、夢をかなえることは可能だ。,只要努力，实现梦想是可能的。
加熱,かねつ ⓪,加热,肉をしっかり加熱してから食べて。,把肉彻底加热后再吃。
被る,かぶる ②,戴（帽子）、蒙,帽子をかぶって、外出しました。,戴上帽子出门了。
花粉,かふん ⓪,花粉,春は、花粉症で悩む人が多いです。,春天为花粉症困扰的人很多。
構う,かまう ②,介意、照顾,どうぞ、お構いなく。,请别客气，别管我。
我慢,がまん ①,忍耐、克制,痛みを我慢して、最後まで走りました。,忍住疼痛跑到了最后。
神,かみ ①,神,多くの人が、神社で神に祈ります。,很多人在神社向神祈祷。
髪,かみ ②,头发,彼女は、髪が長くてとても綺麗だ。,她头发很长，非常漂亮。
噛む,かむ ①,咬、咀嚼,ご飯は、よく噛んで食べましょう。,吃饭时要细嚼慢咽。
通う,かよう ⓪,通学、通勤、往来,毎日、電車で一時間かけて学校に通う。,每天花一小时坐车去学校。
空,から ①,空、空虚,バッグの中は、空っぽでした。,包里是空的。
柄,がら ①,花纹、图案,彼女は、派手な柄のドレスを着ている。,她穿着一件花纹华丽的连衣裙。
辛い,からい ②,辛辣,このカレーは、辛すぎて食べられない。,这咖喱太辣了，吃不了。
体,からだ ⓪,身体,健康のために、体を動かしましょう。,为了健康，让身体动起来吧。
身体,しんたい ①,身体、身躯,身体検査を、年に一度受けます。,每年进行一次身体检查。
借り,かり ⓪,借入、欠债,友達に、千円の借りがあります。,欠朋友一千日元。
刈る,かる ⓪,剪、割,庭の芝を、きれいに刈りました。,把院子的草坪修剪得很整齐。
軽い,かるい ⓪,轻的,このバッグは、軽くて持ちやすい。,这个包很轻，很好拿。
枯れる,かれる ⓪,枯萎,水をあげなかったので、花が枯れた。,因为没浇水，花枯萎了。
可愛がる,かわいがる ④,疼爱、宠爱,祖父母は、孫をとても可愛がっている。,祖父母非常疼爱孙子。
可愛い,かわいい ③,可爱,赤ちゃんは、寝顔もとても可愛い。,婴儿睡觉的样子也非常可爱。
交わす,かわす ⓪,交换、交谈,近所の人と、挨拶を交わしました。,和邻居交换了问候。
代わり,かわり ⓪,代替、补偿,病気の先生の代わりに、授業をしました。,代替生病的老师上了课。
変わる,かわる ⓪,改变、变化,時代が変わっても、大切なものは同じ。,即使时代变了，重要的东西依然不变。
乾く,かわく ②,干、干燥,洗濯物が、天気がいいのでよく乾く。,因为天气好，洗的衣服干得很快。
乾かす,かわかす ③,弄干、晾干,ドライヤーで、濡れた髪を乾かした。,用吹风机吹干了湿头发。
考える,かんがえる ③,考虑、思考,将来のことについて、真剣に考える。,认真考虑未来的事情。
感覚,かんかく ⓪,感觉,寒さで、指先の感覚がなくなった。,因为冷，手指尖没感觉了。
歓迎,かんげい ⓪,欢迎,新入社員を、みんなで歓迎しました。,大家一起欢迎了新职员。
官庁,かんちょう ①,官厅、政府机关,彼は、官庁街で働いています。,他在政府机关街工作。
感謝,かんしゃ ①,感谢,先生のご指導に、深く感謝します。,对老师的指导表示深切感谢。
患者,かんじゃ ⓪,患者、病人,病院の待合室に、多くの患者がいる。,医院候诊室有很多病人。
勘定,かんじょう ③,结账、计算,レストランでお勘定を済ませました。,在餐厅结完账了。
感情,かんじょう ⓪,感情,怒りの感情を抑えるのは難しい。,抑制愤怒的情感很难。
観賞,かんしょう ⓪,观赏,庭の花を、ゆっくり観賞しました。,悠闲地观赏了院子里的花。
鑑賞,かんしょう ⓪,欣赏（艺术品）,週末は、映画鑑賞をするのが趣味です。,周末欣赏电影是我的爱好。
関心,かんしん ⓪,关心、兴趣,私は、日本の歴史に強い関心がある。,我对日本历史有浓厚兴趣。
感心,かんしん ⓪,佩服、赞赏,彼の親切な行動には、本当に感心した。,对他热心的行为真心感到佩服。
観客,かんきゃく ⓪,观众,会場は、超満員の観客で埋まった。,会场挤满了爆满的观众。
感動,かんどう ⓪,感动,その映画を見て、深く感動しました。,看那部电影，深受感动。
監督,かんとく ⓪,导演、监督,映画監督が、新しい作品について語った。,电影导演谈论了新作品。
管理,かんり ①,管理,寮の管理人は、とても親切な人だ。,宿舍管理员是个很热心的人。
完了,かんりょう ⓪,完成、结束,準備が全て完了しました。,准备工作全部完成了。
慣れる,なれる ②,习惯,日本の生活に、ようやく慣れてきた。,终于习惯日本的生活了。
木,き ①,树、木头,庭に大きな桜の木があります。,院子里有一棵很大的樱花树。
気,き ⓪,气、心情,彼は、とても気が短い性格だ。,他是个急性子。
黄,き ①,黄色,秋になると、銀杏の葉が黄色になる。,到了秋天，银杏叶变黄。
期,き ①,期、期间,試験の準備期間は、あと一週間だ。,考试准备期间还剩一周。
害,がい ①,害、危害,タバコは、体に害を及ぼします。,吸烟对身体有害。
